,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
145,1.0,1723.15,50.8,2.12,7.79,8.37,14.5,4.16,0.05,0.73,8.39,0.0,60.4,2.48,35.4,0.0,2130.0
146,1.0,1523.0,46.1,1.58,16.2,14.3,5.95,9.97,0.0,3.05,1.73,0.0,63.53,0.0,36.47,0.0,1786.0
147,0.8,1723.15,48.2,0.83,16.14,9.18,10.45,11.98,0.01,2.07,0.1,0.0,51.74,12.2,33.95,1.86,1789.0
148,1.0,1723.15,50.8,0.33,10.5,9.23,18.4,10.2,0.12,0.23,0.05,0.0,61.1,1.88,35.7,0.0,2030.0
149,0.0,1673.15,52.8,1.3,15.3,9.4,7.7,12.5,0.0,0.0,0.0,0.0,63.53,0.0,36.47,0.0,1856.0
150,0.0,1673.15,53.9,2.3,13.9,11.7,8.6,9.3,0.0,0.0,0.0,0.0,63.53,0.0,36.47,0.0,2126.0
151,1.5,1673.15,48.58,0.77,14.41,7.45,10.04,12.69,0.0,2.51,0.0,0.0,56.6,6.05,35.75,1.6,2183.65
152,0.0,1673.15,53.0,0.0,15.5,11.2,11.6,9.1,0.0,0.0,0.0,0.0,63.53,0.0,36.47,0.0,2054.0
153,2.0,1773.15,47.1,0.5,14.5,9.87,12.6,13.3,0.13,0.24,0.08,0.0,59.5,1.15,38.6,0.0,1940.0
154,1.0,1723.15,46.3,0.0,12.0,7.06,17.2,16.5,0.0,0.0,0.0,0.0,59.7,1.46,36.5,0.0,2170.0
155,1.0,1723.15,50.4,0.27,8.36,12.3,19.8,7.97,0.31,0.0,0.03,0.0,62.7,0.59,35.2,0.0,2300.0
156,1.0,1523.0,43.8,1.51,15.4,16.3,5.74,10.3,0.0,3.04,1.6,0.0,63.53,0.0,36.47,0.0,1994.0
157,1.0,1583.0,46.94,2.06,13.7,13.01,8.37,10.81,0.0,0.54,0.33,0.0,60.87,0.37,35.12,3.46,1873.0
158,1.5,1923.15,51.27,0.79,15.8,7.13,10.61,12.45,0.0,1.99,0.0,0.0,61.2,0.71,36.79,1.29,2328.72
159,1.0,1723.15,49.7,0.4,12.1,8.76,16.5,11.8,0.09,0.29,0.05,0.0,60.9,0.92,36.8,0.0,1910.0
160,0.0,1473.15,49.56,5.69,8.74,9.97,9.73,11.99,0.0,1.79,1.06,0.0,47.49,16.14,34.79,0.0,1778.0
161,1.0,1723.0,52.9,1.31,16.2,4.4,9.72,12.0,0.0,2.52,0.1,0.0,63.53,0.0,36.47,0.0,1770.0
162,1.0,1723.15,47.0,0.0,10.6,8.63,16.4,16.7,0.0,0.0,0.0,0.0,57.3,5.81,34.5,0.0,2050.0
163,0.0,1671.0,50.56,3.06,9.44,15.4,11.58,9.91,0.0,0.04,0.0,0.0,89.59,0.0,10.84,0.0,1817.69
164,1.5,1673.15,45.06,0.01,17.64,3.3,15.02,17.35,0.0,0.09,0.0,0.0,57.97,3.91,37.46,0.65,2145.95
165,2.0,1693.15,45.93,3.73,11.67,17.01,4.23,8.81,0.0,2.4,1.28,1.03,63.53,0.0,36.47,0.0,2200.0
166,1.0,1673.0,47.0,1.6,16.4,12.2,6.05,10.1,0.0,3.15,1.73,0.0,63.53,0.0,36.47,0.0,2266.0
167,1.0,1723.15,50.8,0.27,8.77,12.8,17.9,8.51,0.21,0.06,0.03,0.0,63.3,0.82,34.6,0.0,2230.0
168,1.0,1703.0,47.5,1.7,16.7,9.96,6.18,10.7,0.0,3.27,1.81,0.0,63.53,0.0,36.47,0.0,2247.0
169,2.5,1773.0,41.24,4.84,12.44,15.94,7.58,13.37,0.01,0.67,0.14,0.0,64.74,0.0,33.81,1.49,2490.0
170,1.0,1783.0,30.8,8.92,6.41,30.21,8.34,10.93,0.0,0.36,0.15,0.0,24.06,51.13,24.6,0.83,2504.0
171,1.0,1673.0,45.58,2.75,8.55,21.36,11.19,9.13,0.0,0.0,0.0,0.0,66.73,0.0,30.8,1.81,2300.08
172,1.0,1683.0,47.1,9.65,7.96,10.61,12.34,8.83,0.0,0.41,0.1,0.0,62.1,0.0,35.01,2.55,2533.0
173,2.0,1773.15,47.0,0.56,14.2,12.5,9.65,13.9,0.14,0.31,0.1,0.0,62.0,0.49,35.8,0.0,2150.0
174,1.5,1673.15,49.39,0.77,14.57,9.24,10.11,11.81,0.0,2.05,0.0,0.0,58.03,6.81,33.5,1.66,1808.38
175,2.5,1783.0,41.64,9.77,7.85,17.04,9.54,8.94,0.0,0.45,0.04,0.0,43.66,0.0,28.71,4.09,2388.0
176,1.5,1673.15,52.03,0.0,15.6,9.17,8.98,10.6,0.0,0.0,0.0,0.0,61.41,0.92,36.29,1.38,2165.0
177,1.6,1628.15,47.1,0.68,17.8,8.2,12.6,10.7,0.08,2.1,0.0,0.0,63.53,0.0,36.47,0.0,1800.0
178,1.5,1673.15,48.05,0.68,12.96,8.08,15.89,10.6,0.0,1.67,0.14,0.0,59.54,1.86,36.38,1.56,2257.58
179,1.0,1683.0,45.77,6.53,9.15,9.93,13.74,10.64,0.0,0.57,0.28,0.0,60.55,0.0,33.42,2.38,2377.0
180,2.0,1733.15,45.93,3.73,11.67,17.01,4.23,8.81,0.0,2.4,1.28,1.03,63.53,0.0,36.47,0.0,2500.0
181,1.5,1673.15,45.54,0.74,14.03,13.88,10.11,11.06,0.0,1.61,0.0,0.0,49.1,16.95,31.08,2.88,2088.2
182,1.0,1723.0,48.6,1.66,16.8,9.43,6.17,10.3,0.0,3.21,1.8,0.0,63.53,0.0,36.47,0.0,2385.0
