Pressure,T,SiO2,TiO2,Al2O3,FeO,MgO,CaO,NiO,Na2O,K2O,H2O,Fe,Ni+Cu+Co,S,O,SCSS measurement
1.5,1673.15,62.91008824,0.643729412,12.24770294,2.737514706,8.625005882,10.38014706,0,1.299038235,0.119735294,0,5.55307561,70.04000976,24.34812195,0.058792683,292.6705882
1.5,1923.15,43.31487143,0,13.55812,10.76301714,9.326817143,20.11990571,0,0,0,0,59.3694,1.631484615,37.51617692,1.482938462,5789.285714
1.5,1923.15,54.298076,0,13.181732,12.974216,4.575592,13.036272,0,0,0,0,59.02807857,2.410692857,35.90265,2.658578571,4921
1.5,1923.15,43.92933939,0,5.440654545,10.38237576,4.068112121,32.67347273,0,0,0,0,59.91389048,1.500633333,36.4727619,2.112714286,7993.484848
1.5,1923.15,55.51146765,0,0.139702941,13.24945882,0.132720588,27.05351176,0,0,0,0,59.04285185,1.88802963,37.7529963,1.316122222,8411.147059
1.5,1923.15,41.08268519,0,16.62507407,9.133777778,15.36645926,15.29309259,0,0,0,0,59.77631429,1.398214286,37.20459524,1.62087619,4563.333333
1.5,1923.15,34.72073684,0,13.82112105,8.700805263,26.87407895,14.25547368,0,0,0,0,59.59188621,2.024024138,35.77386897,2.61022069,4844.947368
1.5,1923.15,52.68655676,0,10.49474595,13.56297027,10.25322973,10.12593514,0,0,0,0,58.59054324,2.727740541,37.1209,1.560816216,4357.594595
1.5,1923.15,54.40059429,0,0.210842857,14.22862286,29.20713143,0.424394286,0,0,0,0,58.39159429,2.224117143,37.35830857,2.02598,4249.257143
1.5,1923.15,37.39015909,0,34.04380455,11.59750455,0.2106,16.64124091,0,0,0,0,59.21521667,3.153777778,35.67850556,1.9525,2941.5
1.5,1923.15,50.27158718,0,10.65175128,12.67358718,23.96581538,0.351971795,0,0,0,0,56.88524737,3.023847368,38.56175263,1.529152632,4040.846154
1.5,1923.15,36.10256786,0,25.553875,9.736439286,11.64995357,15.83212857,0,0,0,0,60.08148235,1.4709,35.79002353,2.657594118,3806.178571
